community_board,complaint_type,count,date,ingested_at
11 BROOKLYN,Illegal Parking,78,2026-09-21T00:00:00.000,2026-09-23T18:53:09.128343+00:00
01 QUEENS,Illegal Parking,73,2026-09-21T00:00:00.000,2026-09-23T18:53:09.128343+00:00
15 BROOKLYN,Illegal Parking,68,2026-09-21T00:00:00.000,2026-09-23T18:53:09.128343+00:00
02 BROOKLYN,Illegal Parking,64,2026-09-21T00:00:00.000,2026-09-23T18:53:09.128343+00:00
07 QUEENS,Illegal Parking,62,2026-09-21T00:00:00.000,2026-09-23T18:53:09.128343+00:00
12 MANHATTAN,UNSANITARY CONDITION,62,2026-09-21T00:00:00.000,2026-09-23T18:53:09.128343+00:00
05 QUEENS,Illegal Parking,61,2026-09-21T00:00:00.000,2026-09-23T18:53:09.128343+00:00
11 BROOKLYN,Noise - Residential,58,2026-09-21T00:00:00.000,2026-09-23T18:53:09.128343+00:00
10 QUEENS,General Construction/Plumbing,56,2026-09-21T00:00:00.000,2026-09-23T18:53:09.128343+00:00
09 QUEENS,Illegal Parking,55,2026-09-21T00:00:00.000,2026-09-23T18:53:09.128343+00:00
05 BROOKLYN,Illegal Parking,51,2026-09-21T00:00:00.000,2026-09-23T18:53:09.128343+00:00
02 QUEENS,Illegal Parking,48,2026-09-21T00:00:00.000,2026-09-23T18:53:09.128343+00:00
10 BROOKLYN,Illegal Parking,48,2026-09-21T00:00:00.000,2026-09-23T18:53:09.128343+00:00
10 QUEENS,Illegal Parking,46,2026-09-21T00:00:00.000,2026-09-23T18:53:09.128343+00:00
12 BRONX,UNSANITARY CONDITION,42,2026-09-21T00:00:00.000,2026-09-23T18:53:09.128343+00:00
01 BROOKLYN,Illegal Parking,42,2026-09-21T00:00:00.000,2026-09-23T18:53:09.128343+00:00
18 BROOKLYN,Illegal Parking,39,2026-09-21T00:00:00.000,2026-09-23T18:53:09.128343+00:00
05 BRONX,UNSANITARY CONDITION,39,2026-09-21T00:00:00.000,2026-09-23T18:53:09.128343+00:00
14 BROOKLYN,Noise - Residential,37,2026-09-21T00:00:00.000,2026-09-23T18:53:09.128343+00:00
