borough,complaint_type,count,date,ingested_at
BROOKLYN,Illegal Parking,819,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
QUEENS,Illegal Parking,575,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
BRONX,Illegal Parking,288,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
MANHATTAN,Illegal Parking,281,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
BROOKLYN,Noise - Residential,267,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
QUEENS,Blocked Driveway,239,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
BRONX,Noise - Residential,209,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
BROOKLYN,Blocked Driveway,208,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
BROOKLYN,UNSANITARY CONDITION,196,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
MANHATTAN,Noise - Residential,170,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
MANHATTAN,Encampment,162,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
QUEENS,Street Condition,152,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
MANHATTAN,Noise - Street/Sidewalk,142,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
BROOKLYN,Noise - Street/Sidewalk,139,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
BRONX,Noise - Street/Sidewalk,138,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
BRONX,UNSANITARY CONDITION,135,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
QUEENS,Noise - Residential,128,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
QUEENS,Abandoned Vehicle,123,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
MANHATTAN,UNSANITARY CONDITION,120,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
QUEENS,Noise - Vehicle,120,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
BROOKLYN,Street Condition,111,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
BROOKLYN,Abandoned Vehicle,104,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
BROOKLYN,PLUMBING,98,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
MANHATTAN,Homeless Person Assistance,97,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
QUEENS,Building/Use,90,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
QUEENS,UNSANITARY CONDITION,87,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
BRONX,PLUMBING,85,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
BRONX,PAINT/PLASTER,85,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
BROOKLYN,PAINT/PLASTER,84,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
BROOKLYN,Dirty Condition,80,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
BROOKLYN,Street Light Condition,75,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
MANHATTAN,Street Light Condition,75,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
BROOKLYN,Missed Collection,75,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
MANHATTAN,Noise,75,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
BROOKLYN,Water Maintenance,73,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
STATEN ISLAND,Illegal Parking,72,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
BRONX,Blocked Driveway,71,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
MANHATTAN,Graffiti,69,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
STATEN ISLAND,Street Light Condition,68,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
MANHATTAN,Dirty Condition,68,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
MANHATTAN,Noise - Commercial,66,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
QUEENS,Dirty Condition,65,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
BRONX,DOOR/WINDOW,65,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
BROOKLYN,GENERAL,64,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
QUEENS,Noise - Street/Sidewalk,64,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
BROOKLYN,Noise,61,2026-09-17T00:00:00.000,2026-09-19T17:48:57.920883+00:00
