community_board,complaint_type,count,date,ingested_at,rolling_avg,rank,board_num,borough,borough_code,BoroCD
0 Unspecified,Building/Use,1,2026-09-17,2026-09-19T17:48:57.925768+00:00,1.0,0.20833333333333334,0.0,,,
0 Unspecified,Consumer Complaint,1,2026-09-17,2026-09-19T17:48:57.925768+00:00,1.0,0.22972972972972974,0.0,,,
0 Unspecified,Dead/Dying Tree,1,2026-09-17,2026-09-19T17:48:57.925768+00:00,1.0,0.16666666666666666,0.0,,,
0 Unspecified,Ferry Complaint,1,2026-09-17,2026-09-19T17:48:57.925768+00:00,1.0,1.0,0.0,,,
0 Unspecified,Ferry Inquiry,1,2026-09-17,2026-09-19T17:48:57.925768+00:00,2.0,1.0,0.0,,,
0 Unspecified,For Hire Vehicle Complaint,2,2026-09-17,2026-09-19T17:48:57.925768+00:00,3.0,0.62,0.0,,,
0 Unspecified,Mobile Food Vendor,1,2026-09-17,2026-09-19T17:48:57.925768+00:00,1.0,0.4375,0.0,,,
0 Unspecified,Overgrown Tree/Branches,1,2026-09-17,2026-09-19T17:48:57.925768+00:00,1.5,0.38461538461538464,0.0,,,
0 Unspecified,Street Light Condition,3,2026-09-17,2026-09-19T17:48:57.925768+00:00,2.0,0.3114754098360656,0.0,,,
0 Unspecified,Vendor Enforcement,1,2026-09-17,2026-09-19T17:48:57.925768+00:00,1.0,0.2903225806451613,0.0,,,
01 BRONX,APPLIANCE,2,2026-09-17,2026-09-19T17:48:57.925768+00:00,3.0,0.6625,1.0,BRONX,2.0,201.0
01 BRONX,Abandoned Vehicle,2,2026-09-17,2026-09-19T17:48:57.925768+00:00,1.5,0.125,1.0,BRONX,2.0,201.0
01 BRONX,Animal-Abuse,1,2026-09-17,2026-09-19T17:48:57.925768+00:00,2.0,0.8863636363636364,1.0,BRONX,2.0,201.0
01 BRONX,Blocked Driveway,4,2026-09-17,2026-09-19T17:48:57.925768+00:00,4.5,0.28703703703703703,1.0,BRONX,2.0,201.0
01 BRONX,Building/Use,1,2026-09-17,2026-09-19T17:48:57.925768+00:00,1.0,0.20833333333333334,1.0,BRONX,2.0,201.0
01 BRONX,Cannabis Retailer,1,2026-09-17,2026-09-19T17:48:57.925768+00:00,1.0,0.36363636363636365,1.0,BRONX,2.0,201.0
