NTA,community_board,BoroCD
Soundview-Castle Hill-Clason Point-Harding Park,09 BRONX,209
Manhattanville,09 MANHATTAN,109
Kew Gardens,09 QUEENS,409
Crown Heights South,09 BROOKLYN,309
Jamaica Estates-Holliswood,08 QUEENS,408
Upper East Side-Carnegie Hill,08 MANHATTAN,108
Crown Heights North,08 BROOKLYN,308
North Riverdale-Fieldston-Riverdale,08 BRONX,208
Upper West Side,07 MANHATTAN,107
College Point,07 QUEENS,407
Sunset Park West,07 BROOKLYN,307
Bedford Park-Fordham North,07 BRONX,207
Carroll Gardens-Columbia Street-Red Hook,06 BROOKLYN,306
East Tremont,06 BRONX,206
Turtle Bay-East Midtown,06 MANHATTAN,106
Forest Hills,06 QUEENS,406
Midtown-Midtown South,05 MANHATTAN,105
East New York,05 BROOKLYN,305
Glendale,05 QUEENS,405
Kingsbridge Heights,05 BRONX,205
Mount Hope,04 BRONX,204
Corona,04 QUEENS,404
Hudson Yards-Chelsea-Flatiron-Union Square,04 MANHATTAN,104
Bushwick South,04 BROOKLYN,304
Morrisania-Melrose,03 BRONX,203
Crown Heights North,03 BROOKLYN,303
Rossville-Woodrow,03 STATEN ISLAND,503
East Village,03 MANHATTAN,103
Jackson Heights,03 QUEENS,403
Hunts Point,02 BRONX,202
Hunters Point-Sunnyside-West Maspeth,02 QUEENS,402
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,02 BROOKLYN,302
West Village,02 MANHATTAN,102
New Springville-Bloomfield-Travis,02 STATEN ISLAND,502
Georgetown-Marine Park-Bergen Beach-Mill Basin,18 BROOKLYN,318
East Flatbush-Farragut,17 BROOKLYN,317
Brownsville,16 BROOKLYN,316
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,15 BROOKLYN,315
Far Rockaway-Bayswater,14 QUEENS,414
Midwood,14 BROOKLYN,314
West Brighton,13 BROOKLYN,313
Queens Village,13 QUEENS,413
Jamaica,12 QUEENS,412
Williamsbridge-Olinville,12 BRONX,212
Borough Park,12 BROOKLYN,312
Washington Heights South,12 MANHATTAN,112
Bensonhurst West,11 BROOKLYN,311
Douglas Manor-Douglaston-Little Neck,11 QUEENS,411
East Harlem North,11 MANHATTAN,111
Van Nest-Morris Park-Westchester Square,11 BRONX,211
South Ozone Park,10 QUEENS,410
Bay Ridge,10 BROOKLYN,310
Schuylerville-Throgs Neck-Edgewater Park,10 BRONX,210
Central Harlem South,10 MANHATTAN,110
Melrose South-Mott Haven North,01 BRONX,201
Chinatown,01 MANHATTAN,101
East Williamsburg,01 BROOKLYN,301
Steinway,01 QUEENS,401
Stapleton-Rosebank,01 STATEN ISLAND,501
